|Department   |Year |KEN_Code|Provider         |Total_Hospitalizations|Base_Revenue|Extra_Revenue|Total_Revenue|
|Δερματολογικό|2,026|Π05Μα   |ΕΦΚΑ             |1                     |3,329       |0            |4,109.94     |
|Δερματολογικό|2,026|Π12Μβ   |ανασφάλιστος     |1                     |1,932       |1,656        |2,328.61     |
|Δερματολογικό|2,026|Π41Χ    |ιδιωτική ασφάλεια|1                     |412         |206          |4,621.05     |
|Δερματολογικό|2,026|Ρ10Μα   |ιδιωτική ασφάλεια|1                     |7,118       |0            |626.72       |
|Δερματολογικό|2,026|Υ20Μβ   |ιδιωτική ασφάλεια|1                     |1,300       |0            |3,810.67     |
|Επείγοντα    |2,026|Ε12Α    |ανασφάλιστος     |1                     |6,414       |2,138        |2,947.04     |
|Επείγοντα    |2,026|Θ23Χ    |ανασφάλιστος     |1                     |405         |1,215        |4,131.07     |
|Επείγοντα    |2,026|Κ33Χ    |ΕΦΚΑ             |1                     |669         |1,338        |1,978.95     |
|Επείγοντα    |2,026|Φ02Μ    |ΕΦΚΑ             |1                     |9,426       |0            |2,620.36     |
|Επείγοντα    |2,026|Ω31Α    |ΕΦΚΑ             |1                     |444         |1,554        |1,222.19     |
|Καρδιολογία  |2,026|S24Χ    |ανασφάλιστος     |1                     |216         |2,160        |4,785.6      |
|Καρδιολογία  |2,026|Α27Μ    |ιδιωτική ασφάλεια|1                     |864         |2,160        |2,830.52     |
|Καρδιολογία  |2,026|Α32Α    |ανασφάλιστος     |1                     |846         |0            |1,513.39     |
|Καρδιολογία  |2,026|Ε04Α    |ΕΦΚΑ             |1                     |30,015      |0            |3,500.34     |
|Καρδιολογία  |2,026|Θ20Χ    |ιδιωτική ασφάλεια|2                     |2,311       |3,321.571429 |4,764.18     |
|Καρδιολογία  |2,026|Ι24Α    |ανασφάλιστος     |1                     |599         |1,198        |4,521.71     |
|Καρδιολογία  |2,026|Κ08Μ    |ιδιωτική ασφάλεια|1                     |8,956       |0            |2,829.48     |
|Καρδιολογία  |2,026|Κ39Μ    |ιδιωτική ασφάλεια|1                     |1,268       |0            |3,259.84     |
|Καρδιολογία  |2,026|Μ12Χ    |ιδιωτική ασφάλεια|1                     |1,665       |0            |3,592.33     |
|Καρδιολογία  |2,026|Μ13Χ    |ιδιωτική ασφάλεια|1                     |2,083       |0            |2,466.9      |
|Καρδιολογία  |2,026|Μ28Χ    |ανασφάλιστος     |1                     |1,379       |689.5        |1,207.57     |
|Καρδιολογία  |2,026|Ν26Χ    |ιδιωτική ασφάλεια|1                     |872         |872          |1,374.85     |
|Καρδιολογία  |2,026|Ν30Μα   |ανασφάλιστος     |1                     |3,408       |0            |2,267.99     |
|Καρδιολογία  |2,026|Ω02Χ    |ιδιωτική ασφάλεια|1                     |1,609       |10,458.5     |3,709.16     |
|ΜΕΘ          |2,026|Α02Μα   |ανασφάλιστος     |1                     |3,922       |0            |3,982.11     |
|ΜΕΘ          |2,026|Δ13Μ    |ιδιωτική ασφάλεια|1                     |2,856       |0            |3,387.61     |
|ΜΕΘ          |2,026|Η02Χ    |ανασφάλιστος     |1                     |2,079       |346.5        |2,838.36     |
|ΜΕΘ          |2,026|Η20Χ    |ιδιωτική ασφάλεια|1                     |1,517       |303.4        |503.91       |
|ΜΕΘ          |2,026|Κ07Μβ   |ΕΦΚΑ             |1                     |7,279       |0            |4,459.77     |
|ΜΕΘ          |2,026|Μ17Χ    |ΕΦΚΑ             |1                     |1,764       |2,646        |2,770.93     |
|ΜΕΘ          |2,026|Μ23Α    |ΕΦΚΑ             |1                     |661         |7,271        |1,992.49     |
|ΜΕΘ          |2,026|Μ31Μ    |ΕΦΚΑ             |1                     |11,675      |0            |4,604.58     |
|ΜΕΘ          |2,026|Μ64Χ    |ιδιωτική ασφάλεια|1                     |1,175       |0            |1,681.8      |
|ΜΕΘ          |2,026|Μ79Μ    |ανασφάλιστος     |1                     |2,942       |0            |4,101.17     |
|ΜΕΘ          |2,026|Π07Μ    |ΕΦΚΑ             |1                     |1,550       |0            |1,668.08     |
|ΜΕΘ          |2,026|Ρ24Μβ   |ΕΦΚΑ             |1                     |1,401       |700.5        |919.07       |
|ΜΕΘ          |2,026|Σ02Χα   |ανασφάλιστος     |1                     |3,109       |388.625      |3,697.87     |
|ΜΕΘ          |2,026|Τ22Α    |ιδιωτική ασφάλεια|1                     |30,725      |0            |546.91       |
|ΜΕΘ          |2,026|Τ25Μγ   |ιδιωτική ασφάλεια|1                     |3,158       |0            |2,755.66     |
|ΜΕΘ          |2,026|Φ01Α    |ανασφάλιστος     |1                     |12,204      |0            |3,418.67     |
|Νευρολογικό  |2,026|S01Α    |ιδιωτική ασφάλεια|1                     |540         |2,160        |4,944.5      |
|Νευρολογικό  |2,026|Α24Μ    |ανασφάλιστος     |1                     |1,821       |1,593.375    |4,558.29     |
|Νευρολογικό  |2,026|Α30Μ    |ΕΦΚΑ             |1                     |1,331       |1,597.2      |3,037.31     |
|Νευρολογικό  |2,026|Α31Χ    |ιδιωτική ασφάλεια|1                     |910         |728          |926.42       |
|Νευρολογικό  |2,026|Γ20Χ    |ιδιωτική ασφάλεια|1                     |755         |1,761.666667 |1,410.66     |
|Νευρολογικό  |2,026|Θ21Α    |ΕΦΚΑ             |1                     |2,599       |0            |653.49       |
|Νευρολογικό  |2,026|Κ06Χ    |ΕΦΚΑ             |1                     |5,077       |4,351.714286 |835.24       |
|Νευρολογικό  |2,026|Κ42Μ    |ΕΦΚΑ             |2                     |2,996       |235.5        |9,522.68     |
|Νευρολογικό  |2,026|Κ42Χ    |ιδιωτική ασφάλεια|2                     |1,401       |3,222.3      |8,452.12     |
|Νευρολογικό  |2,026|Κ43Μ    |ΕΦΚΑ             |2                     |2,584       |740.375      |6,805.02     |
|Νευρολογικό  |2,026|Μ03Μ    |ανασφάλιστος     |1                     |6,307       |0            |638.6        |
|Νευρολογικό  |2,026|Μ12Μα   |ΕΦΚΑ             |1                     |5,478       |0            |1,307.55     |
|Νευρολογικό  |2,026|Υ25Μ    |ΕΦΚΑ             |1                     |1,128       |376          |822.26       |
|Ορθοπεδικό   |2,026|Α27Χ    |ανασφάλιστος     |1                     |350         |1,575        |926.24       |
|Ορθοπεδικό   |2,026|Α34Χ    |ΕΦΚΑ             |1                     |638         |0            |4,388.33     |
|Ορθοπεδικό   |2,026|Γ04Χ    |ιδιωτική ασφάλεια|1                     |1,525       |5,083.333333 |2,776.22     |
|Ορθοπεδικό   |2,026|Δ20Μ    |ανασφάλιστος     |1                     |2,669       |0            |3,951.01     |
|Ορθοπεδικό   |2,026|Δ27Χ    |ΕΦΚΑ             |1                     |199         |199          |3,392.22     |
|Ορθοπεδικό   |2,026|Ζ22Μ    |ΕΦΚΑ             |1                     |1,167       |0            |3,055.05     |
|Ορθοπεδικό   |2,026|Θ22Μ    |ιδιωτική ασφάλεια|1                     |1,393       |796          |4,549.47     |
|Ορθοπεδικό   |2,026|Κ03Χ    |ΕΦΚΑ             |1                     |11,734      |0            |918.96       |
|Ορθοπεδικό   |2,026|Κ05Μ    |ανασφάλιστος     |1                     |10,023      |0            |618.04       |
|Ορθοπεδικό   |2,026|Κ22Α    |ιδιωτική ασφάλεια|1                     |7,753       |0            |4,021.2      |
|Ορθοπεδικό   |2,026|Ν23Α    |ανασφάλιστος     |1                     |2,109       |0            |4,643.59     |
|Ορθοπεδικό   |2,026|Ν32Μ    |ανασφάλιστος     |1                     |3,175       |0            |4,452.54     |
|Ορθοπεδικό   |2,026|Ο20Μ    |ανασφάλιστος     |1                     |1,860       |1,627.5      |1,852.61     |
|Ορθοπεδικό   |2,026|Π12Μβ   |ανασφάλιστος     |1                     |1,932       |276          |1,965.05     |
|Ορθοπεδικό   |2,026|Π27Α    |ανασφάλιστος     |1                     |265         |2,915        |2,676.98     |
|Ορθοπεδικό   |2,026|Ρ21Μ    |ιδιωτική ασφάλεια|1                     |1,556       |0            |3,072.78     |
|Ορθοπεδικό   |2,026|Ρ22Μ    |ανασφάλιστος     |1                     |1,105       |221          |917.49       |
|Ορθοπεδικό   |2,026|Υ02Χ    |ανασφάλιστος     |1                     |1,189       |4,161.5      |3,222.88     |
|Ορθοπεδικό   |2,026|Υ09Χα   |ιδιωτική ασφάλεια|1                     |1,919       |0            |4,284.75     |
|Ορθοπεδικό   |2,026|Φ25Χ    |ΕΦΚΑ             |1                     |700         |700          |4,414.54     |
|Ορθοπεδικό   |2,026|Ω30Μ    |ανασφάλιστος     |1                     |2,288       |762.666667   |884.62       |
|Ουρολογικό   |2,026|Α21Μ    |ΕΦΚΑ             |1                     |2,187       |795.272727   |2,592.33     |
|Ουρολογικό   |2,026|Κ43Μ    |ΕΦΚΑ             |2                     |2,584       |2,587.25     |5,180.16     |
|Ουρολογικό   |2,026|Λ03Χ    |ανασφάλιστος     |1                     |886         |3,101        |706.81       |
|Ουρολογικό   |2,026|Π04Χ    |ανασφάλιστος     |1                     |1,578       |3,156        |4,136.57     |
|Ουρολογικό   |2,026|Π12Μβ   |ΕΦΚΑ             |2                     |3,864       |276          |7,848.22     |
|Ουρολογικό   |2,026|Σ04Μ    |ιδιωτική ασφάλεια|1                     |1,694       |968          |677.97       |
|Ουρολογικό   |2,026|Φ04Χ    |ανασφάλιστος     |1                     |5,558       |505.272727   |1,448.93     |
|Ουρολογικό   |2,026|Ω06Α    |ΕΦΚΑ             |1                     |1,125       |4,500        |4,720.98     |
|Ουρολογικό   |2,026|Ω20Α    |ανασφάλιστος     |1                     |557         |4,456        |524.28       |
|Ουρολογικό   |2,026|Ω37Α    |ανασφάλιστος     |1                     |254         |762          |4,006.75     |
|Οφθαλμολογικό|2,026|Α29Χ    |ΕΦΚΑ             |1                     |397         |1,985        |2,119.14     |
|Οφθαλμολογικό|2,026|Κ09Μα   |ΕΦΚΑ             |1                     |6,413       |0            |1,893.61     |
|Οφθαλμολογικό|2,026|Μ31Μ    |ανασφάλιστος     |1                     |11,675      |0            |3,736.57     |
|Οφθαλμολογικό|2,026|Π12Μα   |ιδιωτική ασφάλεια|1                     |4,177       |0            |2,143.3      |
|Οφθαλμολογικό|2,026|Π42Α    |ΕΦΚΑ             |1                     |1,097       |0            |2,863.34     |
|Οφθαλμολογικό|2,026|Ρ24Μα   |ΕΦΚΑ             |1                     |3,773       |0            |3,699.16     |
|Οφθαλμολογικό|2,026|Σ02Μ    |ιδιωτική ασφάλεια|1                     |5,777       |0            |4,616.03     |
|Οφθαλμολογικό|2,026|Σ04Μ    |ιδιωτική ασφάλεια|1                     |1,694       |0            |4,939.99     |
|Οφθαλμολογικό|2,026|ΤΚΑ 01  |ανασφάλιστος     |1                     |1,000       |857.142857   |933.56       |
|Οφθαλμολογικό|2,026|ΤΚΑ 11  |ιδιωτική ασφάλεια|1                     |1,000       |0            |4,487.79     |
|Οφθαλμολογικό|2,026|Υ04Μ    |ιδιωτική ασφάλεια|1                     |4,355       |0            |1,760.27     |
|Οφθαλμολογικό|2,026|Φ60Χ    |ΕΦΚΑ             |1                     |288         |1,872        |1,315.28     |
|Παθολογικό   |2,026|W13Α    |ιδιωτική ασφάλεια|1                     |685         |1,370        |2,510.31     |
|Παθολογικό   |2,026|Δ07Α    |ανασφάλιστος     |1                     |605         |605          |1,601.27     |
|Παθολογικό   |2,026|Κ18Μ    |ιδιωτική ασφάλεια|1                     |2,226       |636          |4,486.15     |
|Παθολογικό   |2,026|Μ13Χ    |ανασφάλιστος     |1                     |2,083       |0            |2,068.21     |
|Παθολογικό   |2,026|Μ28Μ    |ΕΦΚΑ             |1                     |2,639       |0            |3,764.34     |
|Παθολογικό   |2,026|Μ61Χ    |ανασφάλιστος     |1                     |856         |642          |3,222.4      |
|Παθολογικό   |2,026|Μ68Α    |ιδιωτική ασφάλεια|1                     |151         |1,812        |4,812.62     |
|Παθολογικό   |2,026|Ν07Χ    |ΕΦΚΑ             |1                     |1,110       |4,440        |4,777.55     |
|Παθολογικό   |2,026|Ν40Α    |ΕΦΚΑ             |1                     |272         |3,808        |2,792.31     |
|Παιδιατρικό  |2,026|Α31Μ    |ανασφάλιστος     |1                     |1,798       |799.111111   |643.34       |
|Παιδιατρικό  |2,026|Α32Α    |ΕΦΚΑ             |1                     |846         |423          |2,010.49     |
|Παιδιατρικό  |2,026|Γ20Χ    |ανασφάλιστος     |1                     |755         |1,510        |1,222.01     |
|Παιδιατρικό  |2,026|Ε06Χγ   |ανασφάλιστος     |1                     |8,261       |0            |3,578.7      |
|Παιδιατρικό  |2,026|Ζ22Χ    |ανασφάλιστος     |1                     |397         |0            |1,429.82     |
|Παιδιατρικό  |2,026|Θ20Μ    |ανασφάλιστος     |2                     |6,031       |650.625      |5,241.04     |
|Παιδιατρικό  |2,026|Κ44Α    |ιδιωτική ασφάλεια|1                     |311         |3,421        |3,677.12     |
|Παιδιατρικό  |2,026|Μ32Χ    |ανασφάλιστος     |1                     |9,147       |0            |2,476.56     |
|Παιδιατρικό  |2,026|Μ68Χ    |ιδιωτική ασφάλεια|1                     |731         |365.5        |1,792.66     |
|Παιδιατρικό  |2,026|Μ73Μ    |ιδιωτική ασφάλεια|1                     |2,249       |0            |3,658.66     |
|Παιδιατρικό  |2,026|Ρ23Α    |ΕΦΚΑ             |1                     |428         |642          |4,108.96     |
|Παιδιατρικό  |2,026|Σ03Μ    |ανασφάλιστος     |1                     |6,097       |0            |4,687.08     |
|Παιδιατρικό  |2,026|Τ25Μα   |ιδιωτική ασφάλεια|1                     |5,872       |0            |2,965.48     |
|Παιδιατρικό  |2,026|ΤΚΑ 13  |ΕΦΚΑ             |1                     |1,000       |714.285714   |4,437.44     |
|Παιδιατρικό  |2,026|Υ21Α    |ΕΦΚΑ             |2                     |367         |3,670        |3,685.72     |
|Παιδιατρικό  |2,026|Ω36Χ    |ανασφάλιστος     |1                     |243         |1,701        |3,194.58     |
|Χειρουργική  |2,026|Δ22Χ    |ΕΦΚΑ             |1                     |688         |688          |3,930.39     |
|Χειρουργική  |2,026|Δ28Χ    |ΕΦΚΑ             |1                     |965         |0            |3,341.51     |
|Χειρουργική  |2,026|Η40Μβ   |ιδιωτική ασφάλεια|1                     |965         |0            |1,441.62     |
|Χειρουργική  |2,026|Μ17Χ    |ΕΦΚΑ             |1                     |1,764       |5,292        |2,072.15     |
|Χειρουργική  |2,026|Μ68Χ    |ιδιωτική ασφάλεια|1                     |731         |2,010.25     |1,568.44     |
|Χειρουργική  |2,026|ΤΚΑ 01  |ΕΦΚΑ             |1                     |1,000       |571.428571   |4,786.26     |
|Χειρουργική  |2,026|Ω31Α    |ΕΦΚΑ             |1                     |444         |0            |4,199.21     |
|Χειρουργική  |2,026|Ω36Χ    |ανασφάλιστος     |1                     |243         |2,916        |3,623.04     |
|Ψυχιατρικό   |2,026|Α10Χ    |ιδιωτική ασφάλεια|1                     |4,627       |0            |761.04       |
|Ψυχιατρικό   |2,026|Α12Μ    |ανασφάλιστος     |1                     |3,984       |0            |3,618.75     |
|Ψυχιατρικό   |2,026|Γ05Μ    |ανασφάλιστος     |1                     |2,147       |0            |4,038.61     |
|Ψυχιατρικό   |2,026|Η23Χ    |ΕΦΚΑ             |1                     |786         |2,620        |4,186.63     |
|Ψυχιατρικό   |2,026|Κ08Χ    |ιδιωτική ασφάλεια|1                     |5,561       |2,383.285714 |1,026.04     |
|Ψυχιατρικό   |2,026|Κ09Χ    |ΕΦΚΑ             |1                     |2,386       |4,772        |3,670.58     |
|Ψυχιατρικό   |2,026|Μ24Α    |ιδιωτική ασφάλεια|1                     |710         |4,260        |3,524.86     |
|Ψυχιατρικό   |2,026|Σ21Α    |ανασφάλιστος     |1                     |294         |2,352        |4,491.38     |
|Ψυχιατρικό   |2,026|Τ24Α    |ΕΦΚΑ             |1                     |5,818       |0            |3,163.62     |
|Ψυχιατρικό   |2,026|ΤΚΑ 05  |ιδιωτική ασφάλεια|1                     |1,000       |571.428571   |1,003.21     |
|Ψυχιατρικό   |2,026|Υ05Χ    |ιδιωτική ασφάλεια|1                     |1,000       |2,000        |1,109.87     |
|Ψυχιατρικό   |2,026|Υ08Μ    |ανασφάλιστος     |1                     |1,271       |0            |4,643.65     |
|Ψυχιατρικό   |2,026|Φ04Μ    |ιδιωτική ασφάλεια|1                     |8,798       |0            |2,038.92     |
|ΩΡΛ          |2,026|S01Α    |ανασφάλιστος     |1                     |540         |2,700        |2,333.72     |
|ΩΡΛ          |2,026|Β01Μ    |ΕΦΚΑ             |1                     |3,553       |1,776.5      |2,488.16     |
|ΩΡΛ          |2,026|Β10Α    |ιδιωτική ασφάλεια|1                     |220         |3,080        |3,328.59     |
|ΩΡΛ          |2,026|Δ23Μ    |ανασφάλιστος     |1                     |965         |193          |2,920.07     |
|ΩΡΛ          |2,026|Κ08Μ    |ΕΦΚΑ             |1                     |8,956       |0            |3,548.34     |
|ΩΡΛ          |2,026|Κ34Χ    |ιδιωτική ασφάλεια|1                     |981         |0            |2,050.43     |
|ΩΡΛ          |2,026|Κ46Χ    |ιδιωτική ασφάλεια|1                     |444         |1,998        |3,483.73     |
|ΩΡΛ          |2,026|Λ02Μ    |ανασφάλιστος     |1                     |1,743       |1,743        |4,874.81     |
|ΩΡΛ          |2,026|Μ28Χ    |ΕΦΚΑ             |1                     |1,379       |2,758        |4,221.59     |
|ΩΡΛ          |2,026|Ν25Α    |ιδιωτική ασφάλεια|1                     |482         |2,410        |1,316.41     |
|ΩΡΛ          |2,026|Ν27Χ    |ιδιωτική ασφάλεια|1                     |482         |964          |1,520.26     |
|ΩΡΛ          |2,026|Π10Χ    |ιδιωτική ασφάλεια|1                     |868         |6,944        |1,559.41     |
|ΩΡΛ          |2,026|Υ03Μβ   |ανασφάλιστος     |1                     |4,426       |2,950.666667 |3,862.42     |
|ΩΡΛ          |2,026|Υ08Μ    |ΕΦΚΑ             |1                     |1,271       |2,033.6      |1,093.04     |
|Ακτινολογικό |2,025|Α02Χ    |ανασφάλιστος     |1                     |683         |4,098        |2,743.64     |
|Ακτινολογικό |2,025|Α10Χ    |ανασφάλιστος     |1                     |4,627       |1,156.75     |2,922.86     |
|Ακτινολογικό |2,025|Α35Μα   |ΕΦΚΑ             |1                     |1,556       |0            |2,861.73     |
|Ακτινολογικό |2,025|Δ12Μ    |ιδιωτική ασφάλεια|1                     |4,871       |0            |2,493.45     |
|Ακτινολογικό |2,025|Ε12Α    |ΕΦΚΑ             |1                     |6,414       |14,966       |1,041.62     |
|Ακτινολογικό |2,025|Ζ01Α    |ΕΦΚΑ             |1                     |36,068      |0            |3,788.79     |
|Ακτινολογικό |2,025|Η40Μα   |ανασφάλιστος     |1                     |2,654       |0            |2,542.39     |
|Ακτινολογικό |2,025|Κ34Μ    |ανασφάλιστος     |1                     |2,233       |0            |1,645.71     |
|Ακτινολογικό |2,025|Κ37Μ    |ΕΦΚΑ             |1                     |1,198       |1,198        |4,252.54     |
|Ακτινολογικό |2,025|Κ39Χ    |ιδιωτική ασφάλεια|1                     |327         |981          |1,848.43     |
|Ακτινολογικό |2,025|Μ01Μ    |ιδιωτική ασφάλεια|1                     |14,020      |0            |3,179.24     |
|Ακτινολογικό |2,025|Μ66Μ    |ιδιωτική ασφάλεια|1                     |2,436       |0            |1,660.77     |
|Ακτινολογικό |2,025|Μ71Μ    |ιδιωτική ασφάλεια|1                     |1,323       |756          |4,457.38     |
|Ακτινολογικό |2,025|Ν02Χ    |ιδιωτική ασφάλεια|1                     |3,836       |3,288        |4,663.04     |
|Ακτινολογικό |2,025|Π12Μβ   |ιδιωτική ασφάλεια|1                     |1,932       |552          |2,567.25     |
|Ακτινολογικό |2,025|Τ01Α    |ιδιωτική ασφάλεια|1                     |1,381       |13,810       |3,203.46     |
|Ακτινολογικό |2,025|ΤΚΑ 25  |ιδιωτική ασφάλεια|1                     |1,000       |0            |3,502.98     |
|Ακτινολογικό |2,025|Υ04Χα   |ιδιωτική ασφάλεια|1                     |2,361       |337.285714   |3,684.11     |
|Ακτινολογικό |2,025|Υ22Α    |ΕΦΚΑ             |1                     |482         |3,374        |4,720.3      |
|Ακτινολογικό |2,025|Φ24Μ    |ιδιωτική ασφάλεια|1                     |2,785       |0            |3,866.85     |
|Ακτινολογικό |2,025|Φ64Χ    |ΕΦΚΑ             |1                     |303         |0            |4,858.11     |
|Γυναικολογικό|2,025|Α26Μα   |ιδιωτική ασφάλεια|1                     |2,467       |0            |4,763.4      |
|Γυναικολογικό|2,025|Α28Χ    |ανασφάλιστος     |1                     |623         |623          |4,105.38     |
|Γυναικολογικό|2,025|Η07Μ    |ΕΦΚΑ             |1                     |4,299       |0            |2,947.09     |
|Γυναικολογικό|2,025|Κ12Χ    |ανασφάλιστος     |1                     |3,694       |3,694        |4,200.91     |
|Γυναικολογικό|2,025|Κ30Χ    |ανασφάλιστος     |1                     |4,470       |0            |2,412.27     |
|Γυναικολογικό|2,025|Κ30Χ    |ΕΦΚΑ             |1                     |4,470       |0            |4,868.95     |
|Γυναικολογικό|2,025|Κ36Μ    |ΕΦΚΑ             |1                     |957         |191.4        |1,260.25     |
|Γυναικολογικό|2,025|Κ45Μβ   |ανασφάλιστος     |1                     |1,019       |509.5        |550.89       |
|Γυναικολογικό|2,025|Μ03Μ    |ιδιωτική ασφάλεια|1                     |6,307       |0            |3,675.83     |
|Γυναικολογικό|2,025|Μ71Μ    |ιδιωτική ασφάλεια|1                     |1,323       |189          |4,356.79     |
|Γυναικολογικό|2,025|Ο13Α    |ανασφάλιστος     |1                     |336         |3,024        |4,591.13     |
|Γυναικολογικό|2,025|Π04Μβ   |ΕΦΚΑ             |1                     |2,710       |301.111111   |3,826.71     |
|Γυναικολογικό|2,025|Π04Χ    |ιδιωτική ασφάλεια|1                     |1,578       |3,945        |3,760.49     |
|Γυναικολογικό|2,025|Ρ22Χ    |ανασφάλιστος     |1                     |444         |0            |4,256.3      |
|Γυναικολογικό|2,025|Σ01Χ    |ανασφάλιστος     |1                     |2,236       |1,118        |1,995.4      |
|Γυναικολογικό|2,025|Τ23Α    |ΕΦΚΑ             |1                     |7,359       |0            |1,878.63     |
|Γυναικολογικό|2,025|Τ24Α    |ΕΦΚΑ             |1                     |5,818       |0            |4,392.46     |
|Γυναικολογικό|2,025|ΤΚΑ 02  |ανασφάλιστος     |1                     |1,000       |0            |1,613.1      |
|Γυναικολογικό|2,025|ΤΚΑ 11  |ΕΦΚΑ             |1                     |1,000       |0            |3,513.73     |
|Γυναικολογικό|2,025|Φ64Μ    |ιδιωτική ασφάλεια|1                     |1,159       |695.4        |4,956.57     |
|Δερματολογικό|2,025|S01Χ    |ανασφάλιστος     |1                     |1,334       |10,672       |1,806.91     |
|Δερματολογικό|2,025|Β02Χ    |ανασφάλιστος     |1                     |1,007       |2,014        |4,106.91     |
|Δερματολογικό|2,025|Β04Α    |ιδιωτική ασφάλεια|1                     |652         |6,520        |1,705.73     |
|Δερματολογικό|2,025|Γ20Μ    |ιδιωτική ασφάλεια|1                     |1,969       |0            |3,875.65     |
|Δερματολογικό|2,025|Δ23Χ    |ΕΦΚΑ             |1                     |366         |0            |4,309.22     |
|Δερματολογικό|2,025|Ζ01Α    |ΕΦΚΑ             |1                     |36,068      |0            |4,189.51     |
|Δερματολογικό|2,025|Ζ02Μ    |ιδιωτική ασφάλεια|1                     |7,225       |0            |1,873.97     |
