|Τμήμα        |Ημερομηνία|Βάρδια   |Κατηγορία           |Υποκατηγορία      |Αριθμός Προσωπικού|
|Γυναικολογικό|2026-05-09|Night    |Νοσηλευτής          |Νοσηλευτής        |1                 |
|Δερματολογικό|2026-05-09|Morning  |Νοσηλευτής          |Προϊστάμενος      |1                 |
|Επείγοντα    |2026-05-09|Afternoon|Νοσηλευτής          |Νοσηλευτής        |1                 |
|Καρδιολογία  |2026-05-09|Afternoon|Νοσηλευτής          |Βοηθός Νοσηλευτή  |1                 |
|ΜΕΘ          |2026-05-09|Morning  |Ιατρός              |ΜΕΘ               |1                 |
|Ορθοπεδικό   |2026-05-09|Afternoon|Διοικητικό προσωπικό|Υπάλληλος Γραφείου|1                 |
|Ορθοπεδικό   |2026-05-09|Night    |Ιατρός              |ΜΕΘ               |1                 |
|Παθολογικό   |2026-05-09|Morning  |Νοσηλευτής          |Προϊστάμενος      |1                 |
|Παιδιατρικό  |2026-05-09|Morning  |Ιατρός              |Καρδιολογία       |1                 |
|Χειρουργική  |2026-05-09|Night    |Νοσηλευτής          |Προϊστάμενος      |1                 |
|Ψυχιατρικό   |2026-05-09|Morning  |Ιατρός              |Χειρουργική       |1                 |
|ΩΡΛ          |2026-05-09|Morning  |Νοσηλευτής          |Προϊστάμενος      |1                 |
|ΩΡΛ          |2026-05-09|Night    |Νοσηλευτής          |Προϊστάμενος      |1                 |
|Γυναικολογικό|2026-05-10|Morning  |Διοικητικό προσωπικό|Γραμματέας        |1                 |
|Γυναικολογικό|2026-05-10|Night    |Διοικητικό προσωπικό|Γραμματέας        |1                 |
|Δερματολογικό|2026-05-10|Afternoon|Νοσηλευτής          |Βοηθός Νοσηλευτή  |1                 |
|Δερματολογικό|2026-05-10|Night    |Νοσηλευτής          |Νοσηλευτής        |1                 |
|Επείγοντα    |2026-05-10|Night    |Ιατρός              |Επείγοντα         |1                 |
|Καρδιολογία  |2026-05-10|Afternoon|Νοσηλευτής          |Βοηθός Νοσηλευτή  |1                 |
|Καρδιολογία  |2026-05-10|Morning  |Διοικητικό προσωπικό|Υπάλληλος Γραφείου|1                 |
|Καρδιολογία  |2026-05-10|Night    |Ιατρός              |Επείγοντα         |1                 |
|ΜΕΘ          |2026-05-10|Afternoon|Νοσηλευτής          |Βοηθός Νοσηλευτή  |1                 |
|ΜΕΘ          |2026-05-10|Morning  |Νοσηλευτής          |Βοηθός Νοσηλευτή  |1                 |
|Νευρολογικό  |2026-05-10|Morning  |Ιατρός              |Καρδιολογία       |1                 |
|Ορθοπεδικό   |2026-05-10|Night    |Νοσηλευτής          |Βοηθός Νοσηλευτή  |1                 |
|Οφθαλμολογικό|2026-05-10|Afternoon|Ιατρός              |Επείγοντα         |1                 |
|Οφθαλμολογικό|2026-05-10|Morning  |Νοσηλευτής          |Βοηθός Νοσηλευτή  |1                 |
|Παθολογικό   |2026-05-10|Night    |Διοικητικό προσωπικό|Υπάλληλος Γραφείου|1                 |
|Παιδιατρικό  |2026-05-10|Night    |Νοσηλευτής          |Προϊστάμενος      |1                 |
|Χειρουργική  |2026-05-10|Afternoon|Διοικητικό προσωπικό|Γραμματέας        |1                 |
|Ψυχιατρικό   |2026-05-10|Morning  |Ιατρός              |Καρδιολογία       |1                 |
