Α/α;ΚΩΔΙΚΟΣ;ΤΕΛΙΚΕΣ ΟΝΟΜΑΣΙΕΣ ΙΑΤΡΙΚΩΝ ΠΡΑΞΕΩΝ;;;;;
6657;K501061;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΟΦΘΑΛΜΙΚΟΥ ΚΟΓΧΟΥ ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α);;;;;
6658;K501065;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΟΦΘΑΛΜΙΚΟΥ ΚΟΓΧΟΥ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α);;;;;
6659;K501067;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΟΦΘΑΛΜΙΚΟΥ ΚΟΓΧΟΥ ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α), ΑΚΟΛΟΥΘΕΙΤΑΙ ΑΠΟ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α) ΚΑΙ  ΕΠΙΠΛΕΟΝ ΤΟΜΕΣ;;;;;
6660;K501069;ΜΑΓΝΗΤΙΚΗ ΑΓΓΕΙΟΓΡΑΦΙΑ ΚΕΦΑΛΗΣ ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ;;;;;
6661;K501071;ΜΑΓΝΗΤΙΚΗ ΑΓΓΕΙΟΓΡΑΦΙΑ ΚΕΦΑΛΗΣ ΜΕ ΣΚΙΑΓΡΑΦΙΚΟ;;;;;
6662;K501073;ΜΑΓΝΗΤΙΚΗ ΑΓΓΕΙΟΓΡΑΦΙΑ ΚΕΦΑΛΗΣ ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ ΠΟΥ ΑΚΟΛΟΥΘΕΙΤΑΙ ΜΕ ΣΚΙΑΓΡΑΦΙΚΟ ΚΑΙ ΕΠΙΠΛΕΟΝ ΤΟΜΕΣ;;;;;
6663;K501075;ΜΑΓΝΗΤΙΚΗ ΑΓΓΕΙΟΓΡΑΦΙΑ ΑΥΧΕΝΑ ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ;;;;;
6664;K501077;ΜΑΓΝΗΤΙΚΗ ΑΓΓΕΙΟΓΡΑΦΙΑ ΑΥΧΕΝΑ ΜΕ ΣΚΙΑΓΡΑΦΙΚΟ;;;;;
6665;K501079;ΜΑΓΝΗΤΙΚΗ ΑΓΓΕΙΟΓΡΑΦΙΑ ΑΥΧΕΝΑ ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ ΠΟΥ ΑΚΟΛΟΥΘΕΙΤΑΙ ΜΕ ΣΚΙΑΓΡΑΦΙΚΟ ΚΑΙ ΕΠΙΠΛΕΟΝ ΤΟΜΕΣ;;;;;
6666;K501083;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ   ΕΓΚΕΦΑΛΟΥ ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ ΥΛΙΚΟ;;;;;
6667;K501085;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ   ΕΓΚΕΦΑΛΟΥ ΜΕ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α);;;;;
6668;K501087;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ  ΕΓΚΕΦΑΛΟΥ ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α), ΑΚΟΛΟΥΘΕΙΤΑΙ ΑΠΟ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α) ΚΑΙ ΕΠΙΠΛΕΟΝ ΤΟΜΕΣ;;;;;
6669;K501089;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ , ΛΕΙΤΟΥΡΓΙΚΗ ΜΕΛΕΤΗ ΕΓΚΕΦΑΛΟΥ;;;;;
6670;K501091;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΕΓΚΕΦΑΛΟΥ, ΛΕΙΤΟΥΡΓΙΚΗ MRI, ΑΠΑΙΤΕΙΤΑΙ ΙΑΤΡΟΣ Η ΨΥΧΟΛΟΓΟΣ ΓΙΑ ΕΚΤΕΛΕΣΗ ΠΛΗΡΟΥΣ ΝΕΥΡΟΛΕΙΤΟΥΡΓΙΚΟΥ ΕΛΕΓΧΟΥ;;;;;
6671;K501095;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΣΠΛΑΓΧΝΙΚΟΥ ΚΡΑΝΙΟΥ ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ ΥΛΙΚΟ;;;;;
6672;K501097;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ    ΣΠΛΑΓΧΝΙΚΟΥ ΚΡΑΝΙΟΥ  ΜΕ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α);;;;;
6673;K501099;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ   ΣΠΛΑΓΧΝΙΚΟΥ ΚΡΑΝΙΟΥ ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α), ΑΚΟΛΟΥΘΕΙΤΑΙ ΑΠΟ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α) ΚΑΙ ΕΠΙΠΛΕΟΝ ΤΟΜΕΣ;;;;;
6674;K502001;ΑΚΤΙΝΟΓΡΑΦΙΑ ΘΩΡΑΚΑ ΚΑΤΑ ΜΕΤΩΠΟ;;;;;
6675;K502011;ΑΚΤΙΝΟΓΡΑΦΙΑ ΘΩΡΑΚΑ ΠΛΑΓΙΑ;;;;;
6676;K502021;ΑΚΤΙΝΟΓΡΑΦΙΑ ΘΩΡΑΚΑ ΚΑΤA ΜΕΤΩΠΟ ΚΑΙ ΠΛΑΓΙΑ;;;;;
6677;K502023;ΑΚΤΙΝΟΓΡΑΦΙΑ ΘΩΡΑΚΑ ΛΟΡΔΩΤΙΚΗ ΠΡΟΒΟΛΗ;;;;;
6678;K502025;ΑΚΤΙΝΟΓΡΑΦΙΑ ΘΩΡΑΚΑ ΛΟΞΗ ΠΡΟΒΟΛΗ;;;;;
6679;K502027;ΑΝΕΝΕΡΓΟΣ;;;;;
6680;K502041;ΑΝΕΝΕΡΓΟΣ;;;;;
6681;K502049;ΑΝΕΝΕΡΓΟΣ;;;;;
6682;K502051;ΑΚΤΙΝΟΓΡΑΦΙΑ ΘΩΡΑΚΑ - ΕΙΔΙΚΗ ΠΡΟΒΟΛΗ;;;;;
6683;K502061;ΑΝΕΝΕΡΓΟΣ;;;;;
6684;K502101;ΑΝΕΝΕΡΓΟΣ;;;;;
6685;K502161;ΕΙΣΑΓΩΓΗ ΒΗΜΑΤΟΔΟΤΗ, ΑΚΤΙΝΟΣΚΟΠΗΣΗ ΚΑΙ ΑΚΤΙΝΟΓΡΑΦΗΣΗ;;;;;
6686;K502181;ΑΚΤΙΝΟΓΡΑΦΙΑ ΠΡΟΣΘΙΟΥ ΑΚΡΟΥ ΠΛΕΥΡΩΝ;;;;;
6687;K502183;ΑΚΤΙΝΟΓΡΑΦΙΑ ΟΠΙΣΘΙΟΥ ΑΚΡΟΥ ΠΛΕΥΡΩΝ;;;;;
6688;K502201;ΑΝΕΝΕΡΓΟΣ;;;;;
6689;K502203;ΑΝΕΝΕΡΓΟΣ;;;;;
6690;K502221;ΑΚΤΙΝΟΓΡΑΦΙΑ ΣΤΕΡΝΟΥ;;;;;
6691;K502241;ΑΚΤΙΝΟΓΡΑΦΙΑ ΣΤΕΡΝΟΚΛΕΙΔΙΚΗΣ ΔΙΑΡΘΡΩΣΗΣ;;;;;
6692;K502481;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ,  ΘΩΡΑΚΟΣ-ΜΕΣΟΘΩΡΑΚΙΟΥ, ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ ΥΛΙΚΟ;;;;;
6693;K502501;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ, ΘΩΡΑΚΟΣ-ΜΕΣΟΘΩΡΑΚΙΟΥ, ΜΕ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α);;;;;
6694;K502521;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ,  ΘΩΡΑΚΟΣ-ΜΕΣΟΘΩΡΑΚΙΟΥ, ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ ΥΛΙΚΟ, ΑΚΟΛΟΥΘΕΙΤΑΙ ΑΠΟ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α) ΚΑΙ ΕΠΙΠΛΕΟΝ ΤΟΜΕΣ;;;;;
6695;K502531;ΑΞΟΝΙΚΗ ΑΓΓΕΙΟΓΡΑΦΙΑ, ΘΩΡΑΚΙΚΗΣ ΑΟΡΤΗΣ, ΜΕ ΣΚΙΑΓΡΑΦΙΚΟ  ΥΛΙΚΟ(Α), ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΑΝΕΥ ΣΚΙΑΓΡΑΦΙΚΟΥ ΕΙΚΟΝΩΝ, ΕΦΟΣΟΝ ΕΧΟΥΝ ΔΙΕΝΕΡΓΗΘΕΙ, ΚΑΙ ΑΝΑΣΥΝΘΕΣΗ  ΕΙΚΟΝΩΝ;;;;;
6696;K503081;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΘΩΡΑΚΟΣ ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α);;;;;
6697;K503083;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΘΩΡΑΚΟΣ ΜΕ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α);;;;;
6698;K503085;ΜΑΓΝΗΤΙΚΗ ΤΟΜΟΓΡΑΦΙΑ ΘΩΡΑΚΟΣ ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α), ΑΚΟΛΟΥΘΕΙΤΑΙ ΑΠΟ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α) ΚΑΙ ΕΠΙΠΛΕΟΝ ΤΟΜΕΣ;;;;;
6699;K503091;ΜΑΓΝΗΤΙΚΗ ΑΓΓΕΙΟΓΡΑΦΙΑ ΘΩΡΑΚΑ ΧΩΡΙΣ Η ΜΕ ΣΚΙΑΓΡΑΦΙΚΟ;;;;;
6700;K504001;ΑΚΤΙΝΟΓΡΑΦΙΑ, ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ (ΠΛΗΡΗΣ), ΟΠΙΣΘΟΠΡΟΣΘΙΑ ΚΑΙ ΠΛΑΓΙΑ ΠΡΟΒΟΛΗ;;;;;
6701;K504021;ΑΚΤΙΝΟΓΡΑΦΙΑ  ΑΥΧΕΝΙΚΗΣ ΜΟΙΡΑΣ ΣΣ ΛΟΞΗ (ΔΥΟ ΠΡΟΒΟΛΕΣ);;;;;
6702;K504061;ΑΚΤΙΝΟΓΡΑΦΙΑ  ΑΥΧΕΝΙΚΗΣ ΜΟΙΡΑΣ ΣΣ ΚΑΤΑ ΜΕΤΩΠΟ ΠΡΟΒΟΛΗ;;;;;
6703;K504081;ΑΚΤΙΝΟΓΡΑΦΙΑ  ΑΥΧΕΝΙΚΗΣ ΜΟΙΡΑΣ ΣΣ ΠΛΑΓΙΑ ΠΡΟΒΟΛΗ;;;;;
6704;K504085;ΑΚΤΙΝΟΓΡΑΦΙΑ ΑΥΧΕΝΙΚΗΣ ΜΟΙΡΑΣ ΣΣ ΣΕ ΚΑΜΨΗ ή ΥΠΕΡΕΚΤΑΣΗ;;;;;
6705;K504119;ΑΚΤΙΝΟΓΡΑΦΙΑ  ΟΣΦΥΙΚΗΣ ΜΟΙΡΑΣ ΣΣ ΛΟΞΗ (ΔΥΟ ΠΡΟΒΟΛΕΣ);;;;;
6706;K504121;ΑΚΤΙΝΟΓΡΑΦΙΑ ΘΩΡΑΚΙΚΗΣ ΜΟΙΡΑΣ ΣΣ ΚΑΤΑ ΜΕΤΩΠΟ ΠΡΟΒΟΛΗ;;;;;
6707;K504125;ΑΚΤΙΝΟΓΡΑΦΙΑ  ΘΩΡΑΚΙΚΗΣ ΜΟΙΡΑΣ ΣΣ ΠΛΑΓΙΑ ΠΡΟΒΟΛΗ;;;;;
6708;K504129;ΑΚΤΙΝΟΓΡΑΦΙΑ  ΘΩΡΑΚΙΚΗΣ ΜΟΙΡΑΣ ΣΣ ΛΟΞΗ (ΔΥΟ ΠΡΟΒΟΛΕΣ);;;;;
6709;K504141;ΑΚΤΙΝΟΓΡΑΦΙΑ ΘΩΡΑΚΟ-ΟΣΦΥΙΚΗΣ ΜΟΙΡΑΣ ΣΣ ΚΑΤΑ ΜΕΤΩΠΟ ΠΡΟΒΟΛΗ;;;;;
6710;K504161;ΑΚΤΙΝΟΛΟΓΙΚΗ ΕΞΕΤΑΣΗ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ ΓΙΑ ΜΕΛΕΤΗ ΣΚΟΛΙΩΣΗΣ;;;;;
6711;K504181;ΑΚΤΙΝΟΓΡΑΦΙΑ  ΟΣΦΥΙΚΗΣ ΜΟΙΡΑΣ ΣΣ ΚΑΤΑ ΜΕΤΩΠΟ ΠΡΟΒΟΛΗ;;;;;
6712;K504201;ΑΚΤΙΝΟΓΡΑΦΙΑ  ΟΣΦΥΙΚΗΣ ΜΟΙΡΑΣ ΣΣ ΠΛΑΓΙΑ ΠΡΟΒΟΛΗ;;;;;
6713;K504209;ΑΚΤΙΝΟΓΡΑΦΙΑ  ΙΕΡΑΣ ΜΟΙΡΑΣ ΣΣ ΚΑΤΑ ΜΕΤΩΠΟ ΠΡΟΒΟΛΗ;;;;;
6714;K504221;ΑΚΤΙΝΟΓΡΑΦΙΑ  ΙΕΡΑΣ ΜΟΙΡΑΣ ΣΣ ΠΛΑΓΙΑ ΠΡΟΒΟΛΗ;;;;;
6715;K504231;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ, ΑΥΧΕΝΙΚΗΣ ΜΟΙΡΑΣ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ, ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ ΥΛΙΚΟ;;;;;
6716;K504233;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ, ΑΥΧΕΝΙΚΗΣ ΜΟΙΡΑΣ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ, ΜΕ ΣΚΙΑΓΡΑΦΙΚΟ ΥΛΙΚΟ;;;;;
6717;K504235;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ, ΑΥΧΕΝΙΚΗΣ ΜΟΙΡΑΣ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ, ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ ΥΛΙΚΟ, ΑΚΟΛΟΥΘΕΙΤΑΙ ΑΠΟ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α) ΚΑΙ ΕΠΙΠΛΕΟΝ ΤΟΜΕΣ;;;;;
6718;K504237;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ, ΘΩΡΑΚΙΚΗΣ ΜΟΙΡΑΣ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ, ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ ΥΛΙΚΟ;;;;;
6719;K504239;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ, ΘΩΡΑΚΙΚΗΣ ΜΟΙΡΑΣ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ, ΜΕ ΣΚΙΑΓΡΑΦΙΚΟ ΥΛΙΚΟ;;;;;
6720;K504241;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ,ΘΩΡΑΚΙΚΗΣ ΜΟΙΡΑΣ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ, ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ ΥΛΙΚΟ, ΑΚΟΛΟΥΘΕΙΤΑΙ ΑΠΟ ΣΚΙΑΓΡΑΦΙΚΟ(Α) ΥΛΙΚΟ(Α) ΚΑΙ ΕΠΙΠΛΕΟΝ ΤΟΜΕΣ;;;;;
6721;K504243;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ, ΟΣΦΥΪΚΗΣ ΜΟΙΡΑΣ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ, ΧΩΡΙΣ ΣΚΙΑΓΡΑΦΙΚΟ ΥΛΙΚΟ;;;;;
